# Dataset: 1, n_train = 3500, n_test = 500 
# 
# FEATURES	; BATCH_SZ	; CST_ERRS	; CST_ACC	; MDL_ERRS	; MDL_ACC	;	 TIME	; CST_ERR_ARRAY	; MDL_ERR_ARRAY
	 10 	;	   5 	;	 90 	;	 82.0% 	;	 67 	;	 86.6% 	;	457.147	;	[2, 0, 2, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 1, 3, 2, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 2, 1, 1, 1, 1, 2, 1, 0, 2, 1, 2, 1, 3, 2, 2, 1, 3, 1, 2, 0, 3, 2, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1, 1, 0, 0, 2, 0, 0, 2, 1, 1, 2, 0]	;	[0, 0, 2, 0, 2, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 3, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 2, 0, 2, 1, 1, 0, 2, 0, 3, 2, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 2, 0, 1, 0]
	 10 	;	  10 	;	 98 	;	 80.4% 	;	 56 	;	 88.8% 	;	236.874	;	[1, 3, 2, 3, 2, 1, 2, 0, 1, 1, 5, 4, 1, 2, 1, 1, 4, 0, 1, 1, 3, 1, 4, 3, 4, 3, 3, 4, 2, 1, 2, 2, 1, 1, 4, 2, 2, 0, 4, 1, 2, 1, 1, 4, 0, 0, 1, 2, 2, 2]	;	[0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 4, 2, 0, 2, 0, 3, 3, 0, 1, 1, 2, 0, 1, 2, 3, 1, 1, 3, 2, 2, 3, 0, 0, 0, 1, 0, 2, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 2, 1, 2]
	 10 	;	  20 	;	 80 	;	 84.0% 	;	 56 	;	 88.8% 	;	147.968	;	[0, 4, 1, 1, 2, 8, 1, 3, 5, 3, 3, 5, 2, 10, 3, 6, 1, 4, 2, 4, 0, 4, 1, 4, 3]	;	[1, 2, 1, 0, 1, 6, 1, 4, 3, 3, 2, 2, 1, 6, 2, 3, 2, 0, 2, 2, 3, 1, 0, 4, 4]
	 10 	;	  40 	;	 82 	;	 83.6% 	;	 52 	;	 89.6% 	;	86.048	;	[6, 4, 11, 6, 4, 11, 10, 6, 5, 4, 4, 5, 6]	;	[3, 1, 6, 5, 4, 5, 9, 5, 2, 2, 4, 1, 5]
	 10 	;	 100 	;	 66 	;	 86.8% 	;	 52 	;	 89.6% 	;	42.684	;	[11, 17, 20, 8, 10]	;	[10, 13, 15, 6, 8]
	 30 	;	   5 	;	 69 	;	 86.2% 	;	 56 	;	 88.8% 	;	745.362	;	[2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 2, 1, 1, 0, 1, 0, 2, 0, 1, 1, 2, 2, 0, 0, 1, 0, 1, 2, 2, 2, 0, 1, 0, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 0, 0, 2, 0, 0, 2, 1, 0, 1, 0]	;	[1, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 3, 1, 0, 0, 1, 0, 1, 2, 2, 0, 0, 1, 0, 1, 0, 1, 2, 0, 1, 1, 0, 1, 2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 1, 0]
	 30 	;	  10 	;	 69 	;	 86.2% 	;	 57 	;	 88.6% 	;	549.476	;	[2, 3, 2, 2, 2, 0, 0, 0, 1, 1, 3, 2, 1, 1, 1, 1, 2, 0, 1, 2, 3, 1, 2, 2, 3, 4, 0, 3, 1, 1, 0, 0, 0, 1, 4, 1, 2, 4, 1, 0, 1, 0, 0, 0, 1, 1, 2, 2, 1, 1]	;	[1, 3, 1, 2, 2, 0, 0, 0, 0, 1, 3, 2, 1, 1, 1, 2, 3, 0, 1, 1, 2, 0, 1, 2, 2, 2, 0, 4, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 1, 0, 1, 3, 0, 0, 1, 0, 2, 1, 1, 1]
	 30 	;	  20 	;	 72 	;	 85.6% 	;	 63 	;	 87.4% 	;	276.787	;	[5, 3, 0, 0, 1, 6, 2, 2, 3, 4, 4, 4, 7, 4, 3, 0, 3, 5, 4, 2, 1, 1, 1, 4, 3]	;	[4, 3, 2, 0, 1, 5, 3, 3, 4, 3, 2, 1, 3, 4, 3, 1, 1, 3, 4, 1, 6, 0, 1, 3, 2]
	 30 	;	  40 	;	 43 	;	 91.4% 	;	 40 	;	 92.0% 	;	149.661	;	[2, 2, 8, 4, 4, 5, 8, 2, 2, 0, 1, 1, 4]	;	[3, 1, 5, 3, 4, 4, 7, 4, 2, 1, 2, 1, 3]
	 30 	;	 100 	;	 65 	;	 87.0% 	;	 51 	;	 89.8% 	;	71.881	;	[5, 16, 23, 6, 15]	;	[6, 16, 15, 5, 9]
